LecturerID	LecturerName	Degree	MainCourse	OtherCourse
01	Ali	Pro.	Algorithms & Data Structures	Programming
02	Ben	Pro.	Internet Technology	System Network
03	Ann	Pro.	Advanced Programming	Cyber Security Fundamentals
04	Lan	Pro.	Advanced Programming	Programming
05	Jay	Dr.	System Network	/
06	Joe	Dr.	Programming	/
07	Jon	Dr.	Cyber Security Fundamentals	/
08	Amy	Dr.	Internet Technology	/
09	Kay	Dr.	Algorithms & Data Structures	/
10	Mia	Dr.	Advanced Programming	/
CourseID	Course Name	Requirement	Course Time	   Course Location
01	System Network	                 Dr.	Mon	   St Andrews Building
02	Programming	                 Dr.	Tue	   Adam Smith Building
03	Advanced Programming	         Pro.	Wed	   Gregory Building
04	Internet Technology	         Pro.	Thu	   James Watt Building
05	Algorithms & Data Structures	 Pro.	Fri	   Gregory Building
06	Cyber Security Fundamentals	 Pro.	Fri	   St Andrews Buildings
